Position,Track Name,Artist,date,region,id
13,Binalewala - Original Version,Michael Dutchi Libranda,2019-11-24,global,2tR5liucorXRwduxr0qEx6
14,Nyaman,Andmesh,2019-11-24,global,1sxUn0SdlFG05Q3qAA2FlE
15,Heart On Ice,Rod Wave,2019-11-24,global,6fWa5CRgy0z30OeGZyMBvD
16,"Collide - From ""Queen & Slim: The Soundtrack""",Tiana Major9,2019-11-24,global,1mEO3xiJqEWXYIdZalDzHR
17,Lose You To Love Me,Selena Gomez,2019-11-24,global,1HfMVBKM75vxSfsQ5VefZ5
18,Eskimiş Senelere,Aspova,2019-11-24,global,5XR0fbf6IAizysmuSQDoUX
19,Imahe,Magnus Haven,2019-11-24,global,65sEZZaxTjLMD8vNgPoMz5
20,Halu,Feby Putri,2019-11-24,global,3c4cBEObUsLU8O5I2yQP3l
21,Dance Monkey,Tones and I,2019-11-24,global,1rgnBhdG2JDFTbYkYRZAku
22,Memories,Maroon 5,2019-11-24,global,2b8fOow8UzyDFAE27YhOZM
23,Eyes. Lips. Face.,iLL Wayno,2019-11-24,global,5sGb7vB83MhpdZsx1tEIYH
24,Alocao (With Bad Gyal),Omar Montes,2019-11-24,global,6RyuoOJXNzlVWpfC5xQyeI
25,90mh,Trefuego,2019-11-24,global,7nduUhUmzj9IdkvFmdtO7g
26,Candy,Doja Cat,2019-11-24,global,1VJwtWR6z7SpZRwipI12be
27,Last Supper,D Smoke,2019-11-24,global,4vFpwBCCKgzHlw8U48MYdS
28,Roses - Imanbek Remix,SAINt JHN,2019-11-24,global,24Yi9hE78yPEbZ4kxyoXAI
29,Rehat,Kunto Aji,2019-11-24,global,1BzMyhmPzYnGWK6RBF5TTj
30,Be Gone Thot!,LIL MAYO,2019-11-24,global,3G47RiG2PrvEVo4panDHi9
31,Kartonyono Medot Janji,Denny Caknan,2019-11-24,global,6tpIXoxxhFv0TOj7S85tJi
32,menina solta,Giulia Be,2019-11-24,global,2MOq63fxuFLYQM3CsDcFs1
33,Can We Kiss Forever?,Kina,2019-11-24,global,1Av69kr9JitqPWo7WJLS5q
34,Trampoline (with ZAYN),SHAED,2019-11-24,global,1iQDltZqI7BXnHrFy4Qo1k
35,Surtada - Remix Brega Funk,Dadá Boladão,2019-11-24,global,5F8ffc8KWKNawllr5WsW0r
36,Maniac,Conan Gray,2019-11-24,global,7hpJ9tATWb2vztlq99hERP
37,Lev nu dö sen,Miss Li,2019-11-24,global,6HJasLoTKvxglAMQH8nPcD
38,Location Unknown ◐ - Brooklyn Session,HONNE,2019-11-24,global,4aT6vP9y2eDjxmRGm5ZqSC
39,Somebody,Internet Money,2019-11-24,global,735RSTb2xbtWbDtKD9XDYi
40,STUPID (feat. Yung Baby Tate),Ashnikko,2019-11-24,global,6qNB2ChCVPepl5ZjVJJTUW
41,Move Your Body,Marshall Jefferson,2019-11-24,global,3YXIVMQLRRq2K7kxC7UYx6
42,hot girl bummer,blackbear,2019-11-24,global,7aiClxsDWFRQ0Kzk5KI5ku
43,One Only,Pamungkas,2019-11-24,global,7iTF9T1jum3Km6H6WMZpDC
44,Bedel,Mustafa Ceceli,2019-11-24,global,6R3YNDKSDdXh4s8sKewqCD
45,"One Beer (HARDY feat. Lauren Alaina, Devin Dawson)",HIXTAPE,2019-11-24,global,5FmvaZGd6fulojSToozLRD
46,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,2019-11-24,global,07Oz5StQ7GRoygNLaXs2pd
47,Lose Control,MEDUZA,2019-11-24,global,7CHi4DtfK4heMlQaudCuHK
48,BEST ON EARTH (feat. BIA),Russ,2019-11-24,global,2Xo3rLHjXfdb4avN68aQyi
49,Lights Up,Harry Styles,2019-11-24,global,2plLJpUcYPFrl1sW2pMG63
50,Pump It Up,Endor,2019-11-24,global,0GiwV6v3AgJfdu59tj719Y
1,Yellow Hearts,Ant Saunders,2019-11-23,global,2W4yABdLc4Jnds67Poi5Nl
2,ROXANNE,Arizona Zervas,2019-11-23,global,696DnlkuDOXcMAnKlTgXXK
3,ok boomer,Peter Kuli,2019-11-23,global,0VdzNP9LFAMAWKjMpBDJ4B
4,Falling,Trevor Daniel,2019-11-23,global,4TnjEaWOeW0eKTKIEvJyCa
5,Pilu Membiru,Kunto Aji,2019-11-23,global,48FTlRoE6Dft6EXIpQgPZb
6,Neneng B,Nik Makino,2019-11-23,global,0BaMZMMEG7GWrUYsoGw8Yg
7,If The World Was Ending (feat. Julia Michaels),JP Saxe,2019-11-23,global,2kJwzbxV2ppxnQoYw4GLBZ
8,Love Songs - Bonus,Kaash Paige,2019-11-23,global,6qL5UWxRSQYml9O99ozoLv
9,Take Your Man,Mahogany Lox,2019-11-23,global,1CF5kzz5XDBAL24wtVyyTJ
10,RITMO (Bad Boys For Life),The Black Eyed Peas,2019-11-23,global,6cy3ki60hLwimwIje7tALf
11,Binalewala - Original Version,Michael Dutchi Libranda,2019-11-23,global,2tR5liucorXRwduxr0qEx6
12,El Güero,Marca MP,2019-11-23,global,4tidSEPF7Dbxcdxv3VyIHd
13,Nyaman,Andmesh,2019-11-23,global,1sxUn0SdlFG05Q3qAA2FlE
14,Heart On Ice,Rod Wave,2019-11-23,global,6fWa5CRgy0z30OeGZyMBvD
15,Lose You To Love Me,Selena Gomez,2019-11-23,global,1HfMVBKM75vxSfsQ5VefZ5
16,Eskimiş Senelere,Aspova,2019-11-23,global,5XR0fbf6IAizysmuSQDoUX
17,"Collide - From ""Queen & Slim: The Soundtrack""",Tiana Major9,2019-11-23,global,1mEO3xiJqEWXYIdZalDzHR
18,Imahe,Magnus Haven,2019-11-23,global,65sEZZaxTjLMD8vNgPoMz5
19,Halu,Feby Putri,2019-11-23,global,3c4cBEObUsLU8O5I2yQP3l
20,Dance Monkey,Tones and I,2019-11-23,global,1rgnBhdG2JDFTbYkYRZAku
21,Memories,Maroon 5,2019-11-23,global,2b8fOow8UzyDFAE27YhOZM
22,Eyes. Lips. Face.,iLL Wayno,2019-11-23,global,5sGb7vB83MhpdZsx1tEIYH
23,90mh,Trefuego,2019-11-23,global,7nduUhUmzj9IdkvFmdtO7g
24,Alocao (With Bad Gyal),Omar Montes,2019-11-23,global,6RyuoOJXNzlVWpfC5xQyeI
25,Candy,Doja Cat,2019-11-23,global,1VJwtWR6z7SpZRwipI12be
26,Last Supper,D Smoke,2019-11-23,global,4vFpwBCCKgzHlw8U48MYdS
27,Roses - Imanbek Remix,SAINt JHN,2019-11-23,global,24Yi9hE78yPEbZ4kxyoXAI
28,Be Gone Thot!,LIL MAYO,2019-11-23,global,3G47RiG2PrvEVo4panDHi9
29,Rehat,Kunto Aji,2019-11-23,global,1BzMyhmPzYnGWK6RBF5TTj
30,Kartonyono Medot Janji,Denny Caknan,2019-11-23,global,6tpIXoxxhFv0TOj7S85tJi
31,menina solta,Giulia Be,2019-11-23,global,2MOq63fxuFLYQM3CsDcFs1
32,Trampoline (with ZAYN),SHAED,2019-11-23,global,1iQDltZqI7BXnHrFy4Qo1k
33,Can We Kiss Forever?,Kina,2019-11-23,global,1Av69kr9JitqPWo7WJLS5q
34,Surtada - Remix Brega Funk,Dadá Boladão,2019-11-23,global,5F8ffc8KWKNawllr5WsW0r
35,Lev nu dö sen,Miss Li,2019-11-23,global,6HJasLoTKvxglAMQH8nPcD
36,Maniac,Conan Gray,2019-11-23,global,7hpJ9tATWb2vztlq99hERP
37,Bedel,Mustafa Ceceli,2019-11-23,global,6R3YNDKSDdXh4s8sKewqCD
38,Somebody,Internet Money,2019-11-23,global,735RSTb2xbtWbDtKD9XDYi
39,STUPID (feat. Yung Baby Tate),Ashnikko,2019-11-23,global,6qNB2ChCVPepl5ZjVJJTUW
40,hot girl bummer,blackbear,2019-11-23,global,7aiClxsDWFRQ0Kzk5KI5ku
41,Move Your Body,Marshall Jefferson,2019-11-23,global,3YXIVMQLRRq2K7kxC7UYx6
42,One Only,Pamungkas,2019-11-23,global,7iTF9T1jum3Km6H6WMZpDC
43,Lights Up,Harry Styles,2019-11-23,global,2plLJpUcYPFrl1sW2pMG63
44,"One Beer (HARDY feat. Lauren Alaina, Devin Dawson)",HIXTAPE,2019-11-23,global,5FmvaZGd6fulojSToozLRD
45,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,2019-11-23,global,07Oz5StQ7GRoygNLaXs2pd
46,Lose Control,MEDUZA,2019-11-23,global,7CHi4DtfK4heMlQaudCuHK
47,BEST ON EARTH (feat. BIA),Russ,2019-11-23,global,2Xo3rLHjXfdb4avN68aQyi
48,Location Unknown ◐ - Brooklyn Session,HONNE,2019-11-23,global,4aT6vP9y2eDjxmRGm5ZqSC
49,Que Tire Pa Lante,Daddy Yankee,2019-11-23,global,6RyaV7owmVU6fzEPE17sF1
50,Ride It,Regard,2019-11-23,global,2tnVG71enUj33Ic2nFN6kZ
1,Yellow Hearts,Ant Saunders,2019-11-22,global,2W4yABdLc4Jnds67Poi5Nl
2,ROXANNE,Arizona Zervas,2019-11-22,global,696DnlkuDOXcMAnKlTgXXK
3,ok boomer,Peter Kuli,2019-11-22,global,0VdzNP9LFAMAWKjMpBDJ4B
4,Neneng B,Nik Makino,2019-11-22,global,0BaMZMMEG7GWrUYsoGw8Yg
5,Pilu Membiru,Kunto Aji,2019-11-22,global,48FTlRoE6Dft6EXIpQgPZb
6,Falling,Trevor Daniel,2019-11-22,global,4TnjEaWOeW0eKTKIEvJyCa
7,If The World Was Ending (feat. Julia Michaels),JP Saxe,2019-11-22,global,2kJwzbxV2ppxnQoYw4GLBZ
8,Take Your Man,Mahogany Lox,2019-11-22,global,1CF5kzz5XDBAL24wtVyyTJ
9,Love Songs - Bonus,Kaash Paige,2019-11-22,global,6qL5UWxRSQYml9O99ozoLv
10,RITMO (Bad Boys For Life),The Black Eyed Peas,2019-11-22,global,6cy3ki60hLwimwIje7tALf
11,Binalewala - Original Version,Michael Dutchi Libranda,2019-11-22,global,2tR5liucorXRwduxr0qEx6
12,El Güero,Marca MP,2019-11-22,global,4tidSEPF7Dbxcdxv3VyIHd
13,Nyaman,Andmesh,2019-11-22,global,1sxUn0SdlFG05Q3qAA2FlE
14,Eskimiş Senelere,Aspova,2019-11-22,global,5XR0fbf6IAizysmuSQDoUX
15,Lose You To Love Me,Selena Gomez,2019-11-22,global,1HfMVBKM75vxSfsQ5VefZ5
16,"Collide - From ""Queen & Slim: The Soundtrack""",Tiana Major9,2019-11-22,global,1mEO3xiJqEWXYIdZalDzHR
17,Heart On Ice,Rod Wave,2019-11-22,global,6fWa5CRgy0z30OeGZyMBvD
18,Halu,Feby Putri,2019-11-22,global,3c4cBEObUsLU8O5I2yQP3l
19,Imahe,Magnus Haven,2019-11-22,global,65sEZZaxTjLMD8vNgPoMz5
20,Memories,Maroon 5,2019-11-22,global,2b8fOow8UzyDFAE27YhOZM
21,Eyes. Lips. Face.,iLL Wayno,2019-11-22,global,5sGb7vB83MhpdZsx1tEIYH
22,Dance Monkey,Tones and I,2019-11-22,global,1rgnBhdG2JDFTbYkYRZAku
23,90mh,Trefuego,2019-11-22,global,7nduUhUmzj9IdkvFmdtO7g
24,Candy,Doja Cat,2019-11-22,global,1VJwtWR6z7SpZRwipI12be
25,Last Supper,D Smoke,2019-11-22,global,4vFpwBCCKgzHlw8U48MYdS
26,Alocao (With Bad Gyal),Omar Montes,2019-11-22,global,6RyuoOJXNzlVWpfC5xQyeI
27,Be Gone Thot!,LIL MAYO,2019-11-22,global,3G47RiG2PrvEVo4panDHi9
28,Roses - Imanbek Remix,SAINt JHN,2019-11-22,global,24Yi9hE78yPEbZ4kxyoXAI
29,Rehat,Kunto Aji,2019-11-22,global,1BzMyhmPzYnGWK6RBF5TTj
30,Trampoline (with ZAYN),SHAED,2019-11-22,global,1iQDltZqI7BXnHrFy4Qo1k
31,menina solta,Giulia Be,2019-11-22,global,2MOq63fxuFLYQM3CsDcFs1
32,Kartonyono Medot Janji,Denny Caknan,2019-11-22,global,6tpIXoxxhFv0TOj7S85tJi
33,Surtada - Remix Brega Funk,Dadá Boladão,2019-11-22,global,5F8ffc8KWKNawllr5WsW0r
34,Can We Kiss Forever?,Kina,2019-11-22,global,1Av69kr9JitqPWo7WJLS5q
35,Lev nu dö sen,Miss Li,2019-11-22,global,6HJasLoTKvxglAMQH8nPcD
36,Bedel,Mustafa Ceceli,2019-11-22,global,6R3YNDKSDdXh4s8sKewqCD
37,STUPID (feat. Yung Baby Tate),Ashnikko,2019-11-22,global,6qNB2ChCVPepl5ZjVJJTUW
38,hot girl bummer,blackbear,2019-11-22,global,7aiClxsDWFRQ0Kzk5KI5ku
39,Maniac,Conan Gray,2019-11-22,global,7hpJ9tATWb2vztlq99hERP
40,One Only,Pamungkas,2019-11-22,global,7iTF9T1jum3Km6H6WMZpDC
41,Somebody,Internet Money,2019-11-22,global,735RSTb2xbtWbDtKD9XDYi
42,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,2019-11-22,global,07Oz5StQ7GRoygNLaXs2pd
43,BEST ON EARTH (feat. BIA),Russ,2019-11-22,global,2Xo3rLHjXfdb4avN68aQyi
44,"One Beer (HARDY feat. Lauren Alaina, Devin Dawson)",HIXTAPE,2019-11-22,global,5FmvaZGd6fulojSToozLRD
45,Lose Control,MEDUZA,2019-11-22,global,7CHi4DtfK4heMlQaudCuHK
46,Lights Up,Harry Styles,2019-11-22,global,2plLJpUcYPFrl1sW2pMG63
47,Que Tire Pa Lante,Daddy Yankee,2019-11-22,global,6RyaV7owmVU6fzEPE17sF1
48,Move Your Body,Marshall Jefferson,2019-11-22,global,3YXIVMQLRRq2K7kxC7UYx6
49,Ride It,Regard,2019-11-22,global,2tnVG71enUj33Ic2nFN6kZ
50,Jesteś ładniejsza niż na zdjęciach (na zawsze),Bedoes,2019-11-22,global,4M2wPuAl7FgUIrUvlJBMOU
Position,Track Name,Artist,date,region,id
1,Yellow Hearts,Ant Saunders,2019-11-25,us,2W4yABdLc4Jnds67Poi5Nl
2,ROXANNE,Arizona Zervas,2019-11-25,us,696DnlkuDOXcMAnKlTgXXK
3,Falling,Trevor Daniel,2019-11-25,us,4TnjEaWOeW0eKTKIEvJyCa
4,ok boomer,Peter Kuli,2019-11-25,us,0VdzNP9LFAMAWKjMpBDJ4B
5,If The World Was Ending (feat. Julia Michaels),JP Saxe,2019-11-25,us,2kJwzbxV2ppxnQoYw4GLBZ
6,Heart On Ice,Rod Wave,2019-11-25,us,6fWa5CRgy0z30OeGZyMBvD
7,A.M.,Lonr.,2019-11-25,us,1GGxh8QYLRZaQ07d6AHA8E
8,"Collide - From ""Queen & Slim: The Soundtrack""",Tiana Major9,2019-11-25,us,1mEO3xiJqEWXYIdZalDzHR
9,Love Songs - Bonus,Kaash Paige,2019-11-25,us,6qL5UWxRSQYml9O99ozoLv
10,Take Your Man,Mahogany Lox,2019-11-25,us,1CF5kzz5XDBAL24wtVyyTJ
11,Don't Start Now,Dua Lipa,2019-11-25,us,6WrI0LAC5M1Rw2MnX2ZvEg
12,Pretty Face,King Staccz,2019-11-25,us,6CDN3ev8Rtq9RnHdnb7H24
13,Maniac,Conan Gray,2019-11-25,us,7hpJ9tATWb2vztlq99hERP
14,RITMO (Bad Boys For Life),The Black Eyed Peas,2019-11-25,us,6cy3ki60hLwimwIje7tALf
15,"One Beer (HARDY feat. Lauren Alaina, Devin Dawson)",HIXTAPE,2019-11-25,us,5FmvaZGd6fulojSToozLRD
16,Into the Unknown - Panic! At The Disco Version,Panic! At The Disco,2019-11-25,us,421eObjg0DTm2qajJl5OJm
17,90mh,Trefuego,2019-11-25,us,7nduUhUmzj9IdkvFmdtO7g
18,Big Drip,Fivio Foreign,2019-11-25,us,4DkZDzcHicZBXCEdA19oWs
19,Eyes. Lips. Face.,iLL Wayno,2019-11-25,us,5sGb7vB83MhpdZsx1tEIYH
20,Candy,Doja Cat,2019-11-25,us,1VJwtWR6z7SpZRwipI12be
21,shining on my ex,bbno$,2019-11-25,us,1IhMuuTCpO0K7BM2MmIZ0w
22,BEST ON EARTH (feat. BIA),Russ,2019-11-25,us,2Xo3rLHjXfdb4avN68aQyi
23,Love Me More,Trippie Redd,2019-11-25,us,6uYgCE2OEulOw5zhHvZsHf
24,Lose You To Love Me,Selena Gomez,2019-11-25,us,1HfMVBKM75vxSfsQ5VefZ5
25,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,2019-11-25,us,56AMYGJzxBO6p8v0wEe9de
26,Good Morning,Mak Sauce,2019-11-25,us,3XuoyFromotNqDFl6vzwC6
27,Dance Monkey,Tones and I,2019-11-25,us,1rgnBhdG2JDFTbYkYRZAku
28,In My Room,Frank Ocean,2019-11-25,us,4S4Mfvv03M1cHgIOJcbUCL
29,Be Gone Thot!,LIL MAYO,2019-11-25,us,3G47RiG2PrvEVo4panDHi9
30,Somebody,Internet Money,2019-11-25,us,735RSTb2xbtWbDtKD9XDYi
31,Lights Up,Harry Styles,2019-11-25,us,5aJEh9Oqdz7PRLKTpH25pB
32,For My Daughter,Kane Brown,2019-11-25,us,2moC0T4mGwmP8dUDostr2g
33,STUPID (feat. Yung Baby Tate),Ashnikko,2019-11-25,us,6qNB2ChCVPepl5ZjVJJTUW
34,Beggin',Madcon,2019-11-25,us,5d9mTAEUMm61SjC9HKCFKq
35,Last Supper,D Smoke,2019-11-25,us,4vFpwBCCKgzHlw8U48MYdS
36,Fairytale of New York (feat. Kirsty MacColl),The Pogues,2019-11-25,us,3VTNVsTTu05dmTsVFrmGpK
37,Now I'm In It,HAIM,2019-11-25,us,5K7x78NAL50rhfhm73ePNb
38,VOICES (feat. XXXTENTACION),Skye,2019-11-25,us,2Yr2BzqNDpIh0YQcnFqM09
39,Immortal,21 Savage,2019-11-25,us,4IO8X9W69dIQe0EC5ALXhq
40,Crash Flow,Rae Rae,2019-11-25,us,0ITwmFOuSuT13jfKErCyxw
41,I Hope,Gabby Barrett,2019-11-25,us,2Hc4t9N2nt37oO4sF9BynI
42,Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,2019-11-25,us,35MKhw2YBKApmD7fAnPERC
43,if we never met,John K,2019-11-25,us,5HBDBBr5OV90lubqW8ctJF
44,Cuban Links,Rod Wave,2019-11-25,us,4ovta8hB5ymzzsR5EaCEdx
45,Juicy,Doja Cat,2019-11-25,us,7f5trao56t7sB7f14QDTmp
46,Start Wit Me (feat. Gunna),Roddy Ricch,2019-11-25,us,5ravc2aiNoYmu9m37diYXW
47,Way Maker - Live,Leeland,2019-11-25,us,40ozK0lCJ0EQzVGWsCNUhk
48,Kissing Other People,Lennon Stella,2019-11-25,us,2x3HyOx0Jd9MnlnAQRtIL3
49,ORANGE SODA,Baby Keem,2019-11-25,us,5FkoSXiJPKTNyYgALRJFhD
50,hot girl bummer,blackbear,2019-11-25,us,7aiClxsDWFRQ0Kzk5KI5ku
1,Yellow Hearts,Ant Saunders,2019-11-24,us,2W4yABdLc4Jnds67Poi5Nl
2,ROXANNE,Arizona Zervas,2019-11-24,us,696DnlkuDOXcMAnKlTgXXK
3,ok boomer,Peter Kuli,2019-11-24,us,0VdzNP9LFAMAWKjMpBDJ4B
4,Falling,Trevor Daniel,2019-11-24,us,4TnjEaWOeW0eKTKIEvJyCa
5,If The World Was Ending (feat. Julia Michaels),JP Saxe,2019-11-24,us,2kJwzbxV2ppxnQoYw4GLBZ
6,Take Your Man,Mahogany Lox,2019-11-24,us,1CF5kzz5XDBAL24wtVyyTJ
7,"Collide - From ""Queen & Slim: The Soundtrack""",Tiana Major9,2019-11-24,us,1mEO3xiJqEWXYIdZalDzHR
8,Love Songs - Bonus,Kaash Paige,2019-11-24,us,6qL5UWxRSQYml9O99ozoLv
9,Heart On Ice,Rod Wave,2019-11-24,us,6fWa5CRgy0z30OeGZyMBvD
10,A.M.,Lonr.,2019-11-24,us,1GGxh8QYLRZaQ07d6AHA8E
11,Eyes. Lips. Face.,iLL Wayno,2019-11-24,us,5sGb7vB83MhpdZsx1tEIYH
12,90mh,Trefuego,2019-11-24,us,7nduUhUmzj9IdkvFmdtO7g
13,RITMO (Bad Boys For Life),The Black Eyed Peas,2019-11-24,us,6cy3ki60hLwimwIje7tALf
14,Last Supper,D Smoke,2019-11-24,us,4vFpwBCCKgzHlw8U48MYdS
15,Pretty Face,King Staccz,2019-11-24,us,6CDN3ev8Rtq9RnHdnb7H24
16,Maniac,Conan Gray,2019-11-24,us,7hpJ9tATWb2vztlq99hERP
17,Big Drip,Fivio Foreign,2019-11-24,us,4DkZDzcHicZBXCEdA19oWs
18,Be Gone Thot!,LIL MAYO,2019-11-24,us,3G47RiG2PrvEVo4panDHi9
19,Somebody,Internet Money,2019-11-24,us,735RSTb2xbtWbDtKD9XDYi
20,BEST ON EARTH (feat. BIA),Russ,2019-11-24,us,2Xo3rLHjXfdb4avN68aQyi
21,"One Beer (HARDY feat. Lauren Alaina, Devin Dawson)",HIXTAPE,2019-11-24,us,5FmvaZGd6fulojSToozLRD
22,Lose You To Love Me,Selena Gomez,2019-11-24,us,1HfMVBKM75vxSfsQ5VefZ5
23,Candy,Doja Cat,2019-11-24,us,1VJwtWR6z7SpZRwipI12be
24,Beggin',Madcon,2019-11-24,us,5d9mTAEUMm61SjC9HKCFKq
25,Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,2019-11-24,us,35MKhw2YBKApmD7fAnPERC
26,STUPID (feat. Yung Baby Tate),Ashnikko,2019-11-24,us,6qNB2ChCVPepl5ZjVJJTUW
27,Lights Up,Harry Styles,2019-11-24,us,2plLJpUcYPFrl1sW2pMG63
